,0,1,2,3,4,5,6,7,8
C,16.3516,32.7032,65.4064,130.813,261.626,523.251,1046.5,2093,4186.01
C#,17.3239,34.6478,69.2957,138.591,277.183,554.365,1108.73,2217.46,4434.92
D,18.354,36.7081,73.4162,146.832,293.665,587.33,1174.66,2349.32,4698.64
D#,19.4454,38.8909,77.7817,155.563,311.127,622.254,1244.51,2489.02,4978.03
E,20.6017,41.2034,82.4069,164.814,329.628,659.255,1318.51,2637.02,5274.04
F,21.8268,43.6536,83.3071,174.614,349.228,698.456,1696.91,2793.83,5587.65
F#,23.1247,46.2493,92.4986,184.997,369.994,739.989,1479.98,2959.96,5919.91
G,24.4997,48.9994,97.9989,195.998,391.995,783.991,1567.98,3135.96,6271.93
G#,25.9565,51.9131,103.826,207.652,415.305,830.609,1661.22,3322.44,6644.88
A,27.5,55,110,220,440,880,1760,3520,7040
A#,29.1352,58.2705,116.541,233.082,466.164,932.328,1864.66,3729.31,7458.62
B,30.8671,63.7354,123.471,246.942,493.883,987.767,1975.53,3951.07,7902.13
